Date,Completed,Goal,Focus,Rest,LongRest,RemainingTime,Rank
2025-06-04,4,4,10,5,30,00:00,Bronze
2025-06-04,1,1,30,5,30,00:00,Silver
2025-06-03,1,1,10,5,30,00:00,Bronze
2025-06-05,5,5,30,5,30,00:00,Gold
2025-06-06,1,1,10,5,30,00:00,Bronze
2025-06-06,1,1,10,5,30,00:00,Bronze
2025-06-06,1,1,10,5,30,00:00,Bronze
2025-06-06,1,1,10,5,30,00:00,Bronze
2025-06-06,1,1,10,5,30,00:00,Bronze
2025-06-06,1,1,10,5,30,00:00,Bronze
2025-06-06,1,1,10,5,30,00:00,Bronze
2025-06-06,1,1,10,5,30,00:00,Bronze
2025-06-06,1,1,10,5,30,00:00,Bronze
2025-06-06,1,1,10,5,30,00:00,Bronze
2025-06-06,1,1,10,5,30,00:00,Silver
2025-06-09,2,2,10,5,30,00:00,Bronze
2025-06-09,2,2,25,5,30,00:00,Silver
